 x           y
10.0     13591.666667
36.0     17261.000000
38.0     11525.142857
40.0      4901.000000
42.0      6014.272727
44.0      5728.888889
46.0      2765.047619
48.0      3740.040000
50.0      2071.275862
52.0      2546.758621
54.0      1206.333333
56.0       649.433333
58.0       634.866667
60.0       563.566667
62.0       450.433333
64.0       411.333333
66.0       381.300000
68.0       293.366667
70.0       315.966667
72.0       272.900000
74.0       282.133333
76.0       248.000000
78.0       243.300000
80.0       220.933333
85.0       211.033333
90.0       210.733333
95.0       184.066667
100.0      188.033333
105.0      178.066667
120.0      169.166667
140.0      157.066667
160.0      134.633333
180.0      130.833333
200.0      119.366667
250.0      117.666667
300.0      111.000000
350.0      106.200000
400.0      101.066667
450.0       99.566667
500.0       99.600000
600.0       92.933333
